Ticker,Name,MarketCap,InceptionDate
MARICO,Marico Limited,1042595445397.0,01-MAY-1996
GMRAIRPORT,GMR AIRPORTS LIMITED,1029077796281.9,21-AUG-2006
LLOYDSME,Lloyds Metals And Energy Limited,1021060985158.4,17-JUL-2023
OFSS,Oracle Financial Services Software Limited,1020829257525.0,28-JUN-2002
INDHOTEL,The Indian Hotels Company Limited,1018821616475.25,03-JUL-1996
UNITDSPR,United Spirits Limited,1018291194200.0,27-SEP-2001
MAXHEALTH,Max Healthcare Institute Limited,1010810999255.4,21-AUG-2020
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,989249409892.8,18-NOV-1998
AMBUJACEM,Ambuja Cements Limited,982993678781.6,18-FEB-1998
INDUSTOWER,Indus Towers Limited,981396545604.0,28-DEC-2012
NYKAA,FSN E-Commerce Ventures Limited,979284653046.7,10-NOV-2021
ASHOKLEY,Ashok Leyland Limited,975764718178.25,25-MAY-1995
JSWENERGY,JSW Energy Limited,972570917311.2,04-JAN-2010
MAZDOCK,Mazagon Dock Shipbuilders Limited,961335216000.0,12-OCT-2020
AUROPHARMA,Aurobindo Pharma Limited,959960480018.0,19-JUL-2000
DRREDDY,Dr. Reddy's Laboratories Limited,954026747010.0,30-MAY-2003
LUPIN,Lupin Limited,950037763300.8,10-SEP-2001
BHARATFORG,Bharat Forge Limited,934615466696.8,04-APR-2003
MANKIND,Mankind Pharma Limited,924450197155.2,09-MAY-2023
GODREJCP,Godrej Consumer Products Limited,890120461011.9,20-JUN-2001
IDBI,IDBI Bank Limited,877611065523.5,20-SEP-1995
PERSISTENT,Persistent Systems Limited,869123625000.0,06-APR-2010
FEDERALBNK,The Federal Bank  Limited,854040463148.0,08-FEB-1995
MCX,Multi Commodity Exchange of India Limited,841473088500.0,09-MAR-2012
POLICYBZR,PB Fintech Limited,832847526000.0,15-NOV-2021
RECLTD,REC Limited,826305691200.0,12-MAR-2008
DIXON,Dixon Technologies (India) Limited,824659933500.0,18-SEP-2017
SHREECEM,SHREE CEMENT LIMITED,822099843180.0,26-APR-1995
NAUKRI,Info Edge (India) Limited,820252059000.0,21-NOV-2006
OIL,Oil India Limited,813791877837.3,30-SEP-2009
COFORGE,Coforge Limited,811419480451.1,30-AUG-2004
JSWINFRA,JSW Infrastructure Limited,797909036619.15,03-OCT-2023
AUBANK,AU Small Finance Bank Limited,789695638190.1,10-JUL-2017
LTF,L&T Finance Limited,779964079748.7,12-AUG-2011
INDUSINDBK,IndusInd Bank Limited,773912562561.6,28-JAN-1998
SWIGGY,Swiggy Limited,770127481845.0,13-NOV-2024
BHARTIHEXA,Bharti Hexacom Limited,769600000000.0,12-APR-2024
NHPC,NHPC Limited,766938407361.75,01-SEP-2009
SAIL,Steel Authority of India Limited,758984021853.75,06-JUL-1995
NAM-INDIA,Nippon Life India Asset Management Limited,756954497895.0,06-NOV-2017
HINDPETRO,Hindustan Petroleum Corporation Limited,750376610972.7,17-JUN-1998
IDFCFIRSTB,IDFC First Bank Limited,747972495125.45,06-NOV-2015
SRF,SRF Limited,746694134175.0,18-AUG-2003
NMDC,NMDC Limited,743787764730.0,03-MAR-2008
NTPCGREEN,NTPC Green Energy Limited,739157638564.7,27-NOV-2024
WAAREEENER,Waaree Energies Limited,732935601580.0,28-OCT-2024
WELCORP,Welspun Corp Limited,732520242100.5,24-MAY-2005
ICICIGI,ICICI Lombard General Insurance Company Limited,731287312555.0,27-SEP-2017
UNOMINDA,UNO Minda Limited,707394111324.8,02-FEB-2007
BAJAJHFL,Bajaj Housing Finance Limited,701749221612.2,16-SEP-2024
HAVELLS,Havells India Limited,700358803632.0,21-MAR-2001
