Ticker,Name,MarketCap,InceptionDate
UPL,UPL Limited,485650608645.4,23-JAN-2004
VMM,Vishal Mega Mart Limited,483537206640.4,18-DEC-2024
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,481265601990.6,15-DEC-2000
AEGISLOG,Aegis Logistics Limited,458967600000.0,03-APR-1996
CPPLUS,Aditya Infotech Limited,451261292113.5,05-AUG-2025
NAVINFLUOR,Navin Fluorine International Limited,446121783009.5,01-JUN-2007
SUPREMEIND,Supreme Industries Limited,445864313700.0,19-JUL-1995
360ONE,360 ONE WAM LIMITED,445062173960.4,19-SEP-2019
KEI,KEI Industries Limited,443586760800.0,23-MAR-2006
AJANTPHARM,Ajanta Pharma Limited,439773396480.0,29-MAY-2000
STLTECH,Sterlite Technologies Limited,439265634099.5,08-DEC-2000
PREMIERENE,Premier Energies Limited,438453248787.2,03-SEP-2024
BDL,Bharat Dynamics Limited,438042187500.0,23-MAR-2018
MPHASIS,MphasiS Limited,437423968062.9,04-JUN-2004
AIIL,Authum Investment & Infrastructure Limited,435058223650.0,23-APR-2024
THERMAX,Thermax Limited,434372376020.0,30-AUG-1995
PETRONET,Petronet LNG Limited,433050025405.6,26-MAR-2004
RVNL,Rail Vikas Nigam Limited,428680132560.0,11-APR-2019
BALKRISIND,Balkrishna Industries Limited,423944597670.0,27-JAN-2006
COCHINSHIP,Cochin Shipyard Limited,399988017912.0,11-AUG-2017
PAGEIND,Page Industries Limited,398750995500.0,16-MAR-2007
POONAWALLA,Poonawalla Fincorp Limited,395687707955.4,27-APR-2004
MEDANTA,Global Health Limited,392439414607.2,16-NOV-2022
ASTRAL,Astral Limited,391960587817.0,20-MAR-2007
NH,Narayana Hrudayalaya Ltd.,390267827398.8,06-JAN-2016
KPRMILL,K.P.R. Mill Limited,385326922200.0,28-AUG-2007
AIAENG,AIA Engineering Limited,384134639031.0,14-DEC-2005
CONCOR,Container Corporation of India Limited,383969681930.25,07-MAY-1997
VOLTAS,Voltas Limited,383329971290.0,12-APR-1995
ENDURANCE,Endurance Technologies Limited,382026228883.2,19-OCT-2016
JKCEMENT,JK Cement Limited,379812087790.5,14-MAR-2006
GODREJIND,Godrej Industries Limited,377996074176.6,25-FEB-2003
NLCINDIA,NLC India Limited,374946539073.6,23-AUG-2000
IRCTC,Indian Railway Catering And Tourism Corporation Limited,374200000000.0,14-OCT-2019
CUPID,Cupid Limited,373076111215.0,16-SEP-2016
EMCURE,Emcure Pharmaceuticals Limited,372263758851.6,10-JUL-2024
PATANJALI,Patanjali Foods Limited,369684895151.25,24-JAN-2020
3MINDIA,3M India Limited,369494296000.0,13-AUG-2004
ANANDRATHI,Anand Rathi Wealth Limited,365705892770.0,14-DEC-2021
WOCKPHARMA,Wockhardt Limited,360830110481.4,23-FEB-2000
PIIND,PI Industries Limited,358813349070.0,15-JUN-2011
LTTS,L&T Technology Services Limited,358289100294.7,23-SEP-2016
EXIDEIND,Exide Industries Limited,357722500000.0,17-JUN-2003
HFCL,HFCL Limited,357120166667.15,09-MAR-2011
HUDCO,Housing & Urban Development Corporation Limited,348490752000.0,19-MAY-2017
CRISIL,Crisil Limited,345298001268.9,28-JUN-1995
STARHEALTH,Star Health and Allied Insurance Company Limited,339084805527.5,10-DEC-2021
SAILIFE,Sai Life Sciences Limited,337496995916.5,18-DEC-2024
PTCIL,PTC Industries Limited,335608209365.0,09-JUN-2023
DELHIVERY,Delhivery Limited,335259305114.8,24-MAY-2022
HSCL,Himadri Speciality Chemical Limited,334889486336.25,02-MAR-2007
UBL,United Breweries Limited,332277950748.3,28-JUL-2008
ESCORTS,Escorts Kubota Limited,330979147433.6,01-MAR-1995
DALBHARAT,Dalmia Bharat Limited,327358857770.9,22-JAN-2019
TATAINVEST,Tata Investment Corporation Limited,326415552144.0,24-JUN-1998
NIACL,The New India Assurance Company Limited,325232800000.0,13-NOV-2017
KIMS,Krishna Institute of Medical Sciences Limited,324581010835.2,28-JUN-2021
KARURVYSYA,Karur Vysya Bank Limited,324065424452.7,26-JUL-2000
AEGISVOPAK,Aegis Vopak Terminals Limited,323367316064.65,02-JUN-2025
LALPATHLAB,Dr. Lal Path Labs Ltd.,321311313759.0,23-DEC-2015
KIRLOSENG,Kirloskar Oil Engines Limited,321144296296.0,24-DEC-2010
ITCHOTELS,ITC Hotels Limited,321049138506.15,29-JAN-2025
NUVAMA,Nuvama Wealth Management Limited,320790588932.2,26-SEP-2023
IREDA,Indian Renewable Energy Development Agency Limited,318342087289.75,29-NOV-2023
MRPL,Mangalore Refinery and Petrochemicals Limited,317781210245.65,07-JAN-2005
TATATECH,Tata Technologies Limited,316334678161.5,30-NOV-2023
ABSLAMC,Aditya Birla Sun Life AMC Limited,314767033217.0,11-OCT-2021
JUBLFOOD,Jubilant Foodworks Limited,312634655760.0,08-FEB-2010
BLUESTARCO,Blue Star Limited,311300789032.0,15-JUN-2000
MANAPPURAM,Manappuram Finance Limited,310732382541.6,01-DEC-2014
CRAFTSMAN,Craftsman Automation Limited,309956185483.0,25-MAR-2021
SYRMA,Syrma SGS Technology Limited,308297379418.0,26-AUG-2022
GODFRYPHLP,Godfrey Phillips India Limited,307596030720.0,24-JUL-1996
HEXT,Hexaware Technologies Limited,307310493176.4,19-FEB-2025
PNBHOUSING,PNB Housing Finance Limited,307235519217.0,07-NOV-2016
REDINGTON,Redington Limited,306455576952.0,15-FEB-2007
IKS,Inventurus Knowledge Solutions Limited,306035043708.3,19-DEC-2024
NEULANDLAB,Neuland Laboratories Limited,305351358200.0,13-OCT-2008
LICHSGFIN,LIC Housing Finance Limited,303799794900.0,29-JUL-1998
